Centro,Tipologia,Id encuesta,Total Encuestas,Total Completas,Total Parciales,Nuevas Completas Hoy,Nuevas Parciales Hoy,Nuevas Completas D-1,Nuevas Parciales D-1,Nuevas Completas D-2,Nuevas Parciales D-2,Nuevas Completas D-3,Nuevas Parciales D-3,Nuevas Completas D-4,Nuevas Parciales D-4,Nuevas Completas D-5,Nuevas Parciales D-5,Nuevas Completas D-6,Nuevas Parciales D-6,Nuevas Completas D-7,Nuevas Parciales D-7,Nuevas Completas D-8,Nuevas Parciales D-8,Nuevas Completas D-9,Nuevas Parciales D-9
CRA ALCIARES,Secundaria,567754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRA ALCIARES,Profesorado,855543,14,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2
IES IZPISÚA BELMONTE ,Primaria,112446,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IES IZPISÚA BELMONTE ,Secundaria,451812,431,323,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,108
IES IZPISÚA BELMONTE ,Profesorado,183326,53,37,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,16
COLEGIO SAN AGUSTÍN,Primaria,225924,234,124,110,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,124,109
COLEGIO SAN AGUSTÍN,Secundaria,118179,775,321,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,454
COLEGIO SAN AGUSTÍN,Profesorado,133473,39,27,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,12
CEIP REINA SOFÍA,Primaria,534639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEIP REINA SOFÍA,Secundaria,696183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
